id,title,description,price,availability,condition,brand,google_product_category,link,image_link
APT001,شقة للبيع - جرين هيلز,الموقع: بجوار نادي المقاولين العرب، المساحة: 190م، 3 غرف، 2 حمام، نصف تشطيب، الدور الرابع، الأسانسير: 2، السعر كاش، ملاحظات: العمارة في الصف الثاني لتفادي الأتربة,4100000.00 EGP,in stock,new,سمسار طلبك,Real Estate,http://nasr-realestate.github.io/samsar-talabak,https://via.placeholder.com/600x400.png
APT002,شقة للبيع - رابعة العدوية,"الموقع: مدينة نصر – بجوار نادي الزهور، 120م، 3 غرف، الدور الثاني، فيو حديقة وشارع النصر، استخدام: سكني أو إداري، السعر: 3,000,000 جنيه",3000000.00 EGP,in stock,new,سمسار طلبك,Real Estate,http://nasr-realestate.github.io/samsar-talabak,https://via.placeholder.com/600x400.png
APT003,شقة للبيع - شارع عبدالله بن طاهر,الموقع: شارع عبدالله بن طاهر، 150م، 2 غرفة، 2 حمام، ريسبشن 3 قطع، الدور السابع (أخير)، يوجد أسانسير، المعاينة متاحة، السعر غير محدد,0.00 EGP,in stock,new,سمسار طلبك,Real Estate,http://nasr-realestate.github.io/samsar-talabak,https://via.placeholder.com/600x400.png
APT004,شقة للبيع - الحي السابع,"شارع السويس – أمام الحديقة الدولية، 180م، 3 غرف، نصف تشطيب، الدور 10 من 14، 2 أسانسير، 3 تكييفات، مطبخ زان، السعر: 4,000,000 جنيه",4000000.00 EGP,in stock,new,سمسار طلبك,Real Estate,http://nasr-realestate.github.io/samsar-talabak,https://via.placeholder.com/600x400.png
APT005,شقة للبيع أو إيجار - شارع النزهة,"الموقع: شارع النزهة، 170م، 3 غرف، مفروش أو غير مفروش، الدور الأول، جراج خاص، السعر مفروش: 5,000,000، غير مفروش: 4,500,000، إيجار: 45,000 شهريًا",5000000.00 EGP,in stock,new,سمسار طلبك,Real Estate,http://nasr-realestate.github.io/samsar-talabak,https://via.placeholder.com/600x400.png
